name,country,label,issued_mt,retired_pct
Guyana,Guyana,Forestry & land use,58.4,0.216
The Mai Ndombe REDD+ Project,DR Congo,Forestry & land use,42.5,0.548
Katingan Peatland Restoration and Conservation Project,Indonesia,Forestry & land use,40.0,0.925
Cordillera Azul National Park REDD Project,Peru,Forestry & land use,36.6,0.432
Rimba Raya Biodiversity Reserve Project,Indonesia,Forestry & land use,33.6,0.796
Hydroelectric Project in Kinnaur District in Himachal Pradesh,India,Renewable energy,30.8,0.442
KARIBA REDD+ PROJECT,Zimbabwe,Forestry & land use,29.0,0.886
Southern Cardamom REDD+ Project,Cambodia,Forestry & land use,27.6,0.31
REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM),Colombia,Forestry & land use,27.1,0.753
Phlogiston Phase I,United States,GHG management,22.3,0.427
300MW Hydropower project by JHPL,India,Renewable energy,19.1,0.543
"REDD project in Brazil nut concessions in Madre de Dios, Peru",Peru,Forestry & land use,19.1,0.439
Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,Cambodia,Forestry & land use,18.9,0.808
The Kasigau Corridor REDD Project - Phase II The Community Ranches,Kenya,Forestry & land use,17.7,0.507
Finite Carbon - Ahtna Native Alaskan IFM,United States,Forestry & land use,15.8,0.827
